month,form_family,n_filed,n_measured,pct_measured,pct_score_ge7,median_excess_pct,p25,p75,pct_abs_excess_ge5,pct_abs_excess_ge10,note
2026-07-24..2026-08-14,current-report,6708,4818,71.8,65.3,-0.08,-3.26,2.94,34.9,15.6,
2026-07-24..2026-08-14,insider,4845,3008,62.1,5.4,-0.03,-1.44,1.72,12,2.7,
2026-07-24..2026-08-14,offering-dilution,1828,541,29.6,21,-0.11,-2.16,1.51,21.4,9.6,
2026-07-24..2026-08-14,other,559,302,54,33.6,0.06,-0.82,1.21,10.9,3.6,
2026-07-24..2026-08-14,ownership,303,213,70.3,63,0,-2.15,2.49,26.3,13.1,
2026-07-24..2026-08-14,periodic,3600,2301,63.9,87.1,-0.03,-2.32,1.73,26.2,11.2,
2026-07-24..2026-08-14,proxy,442,233,52.7,43,0,-1.69,1.54,21.9,9,
