month,score,n_filed,n_measured,pct_measured,median_excess_pct,p25,p75,pct_abs_excess_ge5,pct_abs_excess_ge10,note
2026-07-24..2026-08-14,2,28,12,42.9,,,,,,insufficient_sample
2026-07-24..2026-08-14,3,709,264,37.2,0,-1.2,1.7,14.4,3,
2026-07-24..2026-08-14,4,4798,2523,52.6,-0.06,-1.52,1.56,13.4,4.2,
2026-07-24..2026-08-14,5,2882,1658,57.5,0,-1.44,1.34,12.1,3,
2026-07-24..2026-08-14,6,1139,817,71.7,0,-1.75,1.79,18.7,5.6,
2026-07-24..2026-08-14,7,3552,2362,66.5,-0.03,-2.58,2.58,29.5,12.7,
2026-07-24..2026-08-14,8,3991,2903,72.7,-0.03,-3.43,3.34,37.9,17.3,
2026-07-24..2026-08-14,9,1146,846,73.8,-0.35,-4.46,3.37,42.4,21.9,
2026-07-24..2026-08-14,10,40,31,77.5,-0.06,-4.01,0.92,41.9,25.8,
